CÓDIGO,UF,MUNICÍPIO
411060,PARANÁ,IPORÃ
411065,PARANÁ,IRACEMA DO OESTE
411070,PARANÁ,IRATI
411080,PARANÁ,IRETAMA
411090,PARANÁ,ITAGUAJÉ
411095,PARANÁ,ITAIPULÂNDIA
411100,PARANÁ,ITAMBARACÁ
411110,PARANÁ,ITAMBÉ
411120,PARANÁ,ITAPEJARA D'OESTE
411125,PARANÁ,ITAPERUÇU
411130,PARANÁ,ITAÚNA DO SUL
411140,PARANÁ,IVAÍ
411150,PARANÁ,IVAIPORÃ
411155,PARANÁ,IVATÉ
411160,PARANÁ,IVATUBA
411170,PARANÁ,JABOTI
411180,PARANÁ,JACAREZINHO
411190,PARANÁ,JAGUAPITÃ
411200,PARANÁ,JAGUARIAÍVA
411210,PARANÁ,JANDAIA DO SUL
411220,PARANÁ,JANIÓPOLIS
411230,PARANÁ,JAPIRA
411240,PARANÁ,JAPURÁ
411250,PARANÁ,JARDIM ALEGRE
411260,PARANÁ,JARDIM OLINDA
411270,PARANÁ,JATAIZINHO
411275,PARANÁ,JESUÍTAS
411280,PARANÁ,JOAQUIM TÁVORA
411290,PARANÁ,JUNDIAÍ DO SUL
411295,PARANÁ,JURANDA
411300,PARANÁ,JUSSARA
411310,PARANÁ,KALORÉ
411320,PARANÁ,LAPA
411325,PARANÁ,LARANJAL
411330,PARANÁ,LARANJEIRAS DO SUL
411340,PARANÁ,LEÓPOLIS
411342,PARANÁ,LIDIANÓPOLIS
411345,PARANÁ,LINDOESTE
411350,PARANÁ,LOANDA
411360,PARANÁ,LOBATO
411370,PARANÁ,LONDRINA
411373,PARANÁ,LUIZIANA
411375,PARANÁ,LUNARDELLI
411380,PARANÁ,LUPIONÓPOLIS
411390,PARANÁ,MALLET
411400,PARANÁ,MAMBORÊ
411410,PARANÁ,MANDAGUAÇU
411420,PARANÁ,MANDAGUARI
411430,PARANÁ,MANDIRITUBA
411435,PARANÁ,MANFRINÓPOLIS
411440,PARANÁ,MANGUEIRINHA
411450,PARANÁ,MANOEL RIBAS
411460,PARANÁ,MARECHAL CÂNDIDO RONDON
411470,PARANÁ,MARIA HELENA
411480,PARANÁ,MARIALVA
411490,PARANÁ,MARILÂNDIA DO SUL
411500,PARANÁ,MARILENA
411510,PARANÁ,MARILUZ
411520,PARANÁ,MARINGÁ
411530,PARANÁ,MARIÓPOLIS
411535,PARANÁ,MARIPÁ
411540,PARANÁ,MARMELEIRO
411545,PARANÁ,MARQUINHO
411550,PARANÁ,MARUMBI
411560,PARANÁ,MATELÂNDIA
411570,PARANÁ,MATINHOS
411573,PARANÁ,MATO RICO
411575,PARANÁ,MAUÁ DA SERRA
411580,PARANÁ,MEDIANEIRA
411585,PARANÁ,MERCEDES
411590,PARANÁ,MIRADOR
411600,PARANÁ,MIRASELVA
411605,PARANÁ,MISSAL
411610,PARANÁ,MOREIRA SALES
411620,PARANÁ,MORRETES
411630,PARANÁ,MUNHOZ DE MELO
411640,PARANÁ,NOSSA SENHORA DAS GRAÇAS
411650,PARANÁ,NOVA ALIANÇA DO IVAÍ
411660,PARANÁ,NOVA AMÉRICA DA COLINA
411670,PARANÁ,NOVA AURORA
411680,PARANÁ,NOVA CANTU
411690,PARANÁ,NOVA ESPERANÇA
411695,PARANÁ,NOVA ESPERANÇA DO SUDOESTE
411700,PARANÁ,NOVA FÁTIMA
411705,PARANÁ,NOVA LARANJEIRAS
411710,PARANÁ,NOVA LONDRINA
411720,PARANÁ,NOVA OLÍMPIA
411721,PARANÁ,NOVA SANTA BÁRBARA
411722,PARANÁ,NOVA SANTA ROSA
411725,PARANÁ,NOVA PRATA DO IGUAÇU
411727,PARANÁ,NOVA TEBAS
411729,PARANÁ,NOVO ITACOLOMI
411730,PARANÁ,ORTIGUEIRA
411740,PARANÁ,OURIZONA
411745,PARANÁ,OURO VERDE DO OESTE
411750,PARANÁ,PAIÇANDU
411760,PARANÁ,PALMAS
411770,PARANÁ,PALMEIRA
411780,PARANÁ,PALMITAL
411790,PARANÁ,PALOTINA
411800,PARANÁ,PARAÍSO DO NORTE
411810,PARANÁ,PARANACITY
411820,PARANÁ,PARANAGUÁ
411830,PARANÁ,PARANAPOEMA
411840,PARANÁ,PARANAVAÍ
411845,PARANÁ,PATO BRAGADO
411850,PARANÁ,PATO BRANCO
411860,PARANÁ,PAULA FREITAS
411870,PARANÁ,PAULO FRONTIN
411880,PARANÁ,PEABIRU
411885,PARANÁ,PEROBAL
411890,PARANÁ,PÉROLA
411900,PARANÁ,PÉROLA D'OESTE
411910,PARANÁ,PIÊN
411915,PARANÁ,PINHAIS
411920,PARANÁ,PINHALÃO
411925,PARANÁ,PINHAL DE SÃO BENTO
411930,PARANÁ,PINHÃO
411940,PARANÁ,PIRAÍ DO SUL
411950,PARANÁ,PIRAQUARA
411960,PARANÁ,PITANGA
411965,PARANÁ,PITANGUEIRAS
411970,PARANÁ,PLANALTINA DO PARANÁ
411980,PARANÁ,PLANALTO
411990,PARANÁ,PONTA GROSSA
411995,PARANÁ,PONTAL DO PARANÁ
412000,PARANÁ,PORECATU
412010,PARANÁ,PORTO AMAZONAS
412015,PARANÁ,PORTO BARREIRO
412020,PARANÁ,PORTO RICO
412030,PARANÁ,PORTO VITÓRIA
412033,PARANÁ,PRADO FERREIRA
412035,PARANÁ,PRANCHITA
412040,PARANÁ,PRESIDENTE CASTELO BRANCO
412050,PARANÁ,PRIMEIRO DE MAIO
412060,PARANÁ,PRUDENTÓPOLIS
412065,PARANÁ,QUARTO CENTENÁRIO
412070,PARANÁ,QUATIGUÁ
412080,PARANÁ,QUATRO BARRAS
412085,PARANÁ,QUATRO PONTES
412090,PARANÁ,QUEDAS DO IGUAÇU
412100,PARANÁ,QUERÊNCIA DO NORTE
412110,PARANÁ,QUINTA DO SOL
412120,PARANÁ,QUITANDINHA
412125,PARANÁ,RAMILÂNDIA
412130,PARANÁ,RANCHO ALEGRE
412135,PARANÁ,RANCHO ALEGRE D'OESTE
412140,PARANÁ,REALEZA
412150,PARANÁ,REBOUÇAS
412160,PARANÁ,RENASCENÇA
412170,PARANÁ,RESERVA
412175,PARANÁ,RESERVA DO IGUAÇU
412180,PARANÁ,RIBEIRÃO CLARO
412190,PARANÁ,RIBEIRÃO DO PINHAL
412200,PARANÁ,RIO AZUL
412210,PARANÁ,RIO BOM
412215,PARANÁ,RIO BONITO DO IGUAÇU
412217,PARANÁ,RIO BRANCO DO IVAÍ
412220,PARANÁ,RIO BRANCO DO SUL
412230,PARANÁ,RIO NEGRO
412240,PARANÁ,ROLÂNDIA
412250,PARANÁ,RONCADOR
412260,PARANÁ,RONDON
412265,PARANÁ,ROSÁRIO DO IVAÍ
412270,PARANÁ,SABÁUDIA
412280,PARANÁ,SALGADO FILHO
412290,PARANÁ,SALTO DO ITARARÉ
412300,PARANÁ,SALTO DO LONTRA
412310,PARANÁ,SANTA AMÉLIA
412320,PARANÁ,SANTA CECÍLIA DO PAVÃO
412330,PARANÁ,SANTA CRUZ DE MONTE CASTELO
412340,PARANÁ,SANTA FÉ
412350,PARANÁ,SANTA HELENA
412360,PARANÁ,SANTA INÊS
412370,PARANÁ,SANTA ISABEL DO IVAÍ
412380,PARANÁ,SANTA IZABEL DO OESTE
412382,PARANÁ,SANTA LÚCIA
412385,PARANÁ,SANTA MARIA DO OESTE
412390,PARANÁ,SANTA MARIANA
412395,PARANÁ,SANTA MÔNICA
412400,PARANÁ,SANTANA DO ITARARÉ
412402,PARANÁ,SANTA TEREZA DO OESTE
412405,PARANÁ,SANTA TEREZINHA DE ITAIPU
412410,PARANÁ,SANTO ANTÔNIO DA PLATINA
412420,PARANÁ,SANTO ANTÔNIO DO CAIUÁ
412430,PARANÁ,SANTO ANTÔNIO DO PARAÍSO
412440,PARANÁ,SANTO ANTÔNIO DO SUDOESTE
412450,PARANÁ,SANTO INÁCIO
412460,PARANÁ,SÃO CARLOS DO IVAÍ
412470,PARANÁ,SÃO JERÔNIMO DA SERRA
412480,PARANÁ,SÃO JOÃO
412490,PARANÁ,SÃO JOÃO DO CAIUÁ
412500,PARANÁ,SÃO JOÃO DO IVAÍ
412510,PARANÁ,SÃO JOÃO DO TRIUNFO
412520,PARANÁ,SÃO JORGE D'OESTE
412530,PARANÁ,SÃO JORGE DO IVAÍ
412535,PARANÁ,SÃO JORGE DO PATROCÍNIO
412540,PARANÁ,SÃO JOSÉ DA BOA VISTA
